ID,PC_1,PC_2
2907.0,-34.79949837668127,-22.158851448739004
1133.0,62.58975582784394,-169.02953556262668
1129.0,-87.9717998531893,-50.97452813284977
55.0,-3.179310900609277,-39.07576841366679
3582.0,13.595291941114015,83.52443755582003
6005.0,-157.4557337082104,118.91963554514993
328.0,44.88094892102173,-50.984691037254
189.0,278.51640653618125,64.92690370633572
3922.0,-17.7737480310882,-70.51630455214124
10123.0,134.4525552038019,15.788048169363183
8911.0,53.902998488647235,12.587575761299624
5146.0,228.53651463966557,-15.981570624311074
7053.0,72.7297803176468,-65.98829981261125
574.0,88.40650503677367,107.21620712067342
1036.0,28.31915736232559,197.28276822791327
637.0,-96.25183199766235,49.103669459680425
1467.0,33.349614402698194,17.057304836247024
168.0,6.712525996537098,5.628895896362449
62.0,-397.6079219824358,27.004609375408414
7547.0,18.01858728369958,113.49687035504516
8731.0,-141.90514012882193,83.70891628970693
3417.0,-1.8854921042690762,-29.51873040739337
411.0,30.32721575369554,-3.1580066341848023
4941.0,42.214272463689724,68.60515236747564
5049.0,69.66168419647641,53.000083333695216
6733.0,179.63993789323604,-123.86075003927013
3954.0,46.69983593388791,84.71017590717477
7475.0,39.504342026580886,-92.81965377699052
1077.0,-39.46019543930214,-164.84503344596325
3921.0,-23.57879977556832,50.39477673754893
6690.0,-31.119628578361933,-35.50025994788005
441.0,-36.50964113688436,-104.12186581944856
7761.0,-98.74230434838593,190.69648915729408
3004.0,6.274368826906713,115.22971524617704
6206.0,-55.429657027116605,-26.872787145137533
2212.0,19.056206038926977,-51.02815820831674
3904.0,48.45946038510147,28.58166250112176
3883.0,208.53178683357882,-71.51971899991767
5073.0,-115.21628409035782,-47.4182172288759
8449.0,-22.093215847215276,18.694365774525924
5342.0,-121.2608422783148,130.48113012470705
473.0,-32.18245058042396,-25.061339497053385
854.0,12.319386339500674,-55.85468310349486
1970.0,-30.468922074755575,-142.23775012090735
8046.0,-29.41843223381339,-17.058542508304953
4646.0,110.4873125743737,-129.3187359645731
3381.0,0.3828382470491096,288.6051889326616
7163.0,-92.64551931710476,90.62411538774177
394.0,-314.35996252550984,79.82407645187944
380.0,-26.04808940966516,83.636842196948
9126.0,442.6580044990999,-164.7357532090639
4833.0,119.71482126557002,-13.119546937914627
3942.0,-29.54774216846632,27.038019523456942
7080.0,96.65105495332075,84.96300939648052
7413.0,-238.5886097851025,-38.33466535480301
9969.0,23.110561360933385,110.36247420344857
3375.0,121.9533074448888,62.909381205248906
4605.0,76.25966034585272,140.27904808680123
4897.0,42.175709782993664,54.87583464057713
1426.0,-69.19811993599599,36.351840372081924
6099.0,72.55808099076441,145.67018034274201
1085.0,41.084604696140445,-98.46619337825386
58.0,88.61636825563195,-224.14056258385682
5820.0,121.48626801399436,-14.581875764307167
776.0,-56.521411974976075,-5.805747292214653
3499.0,21.67452913155006,-59.94355578720781
437.0,39.16530209587138,75.82013952366393
10080.0,-35.49289870550495,17.075946713089127
6985.0,-284.8185145953199,-45.89355853930783
7014.0,106.69252233919146,-19.838889055332377
811.0,35.2162772525198,-33.24700376343094
5408.0,1.3937523290051583,-33.89368606780714
4438.0,-3.959735158182257,110.00756736503095
990.0,-106.08949498967378,-25.224713268975147
5540.0,71.19902532728611,92.04635079314681
6367.0,15.395224923550858,248.57044608516748
8206.0,-59.64502956923836,-22.831624975422603
4143.0,69.90348466908682,-18.000904054781167
6971.0,142.78225206766987,-51.6895291210549
5701.0,-12.27327421806821,-26.506851194328405
9565.0,-38.73057961364972,256.3041615517939
9372.0,36.07449297318489,145.795077841377
2456.0,-46.42011242994461,-202.00241797487465
6858.0,-245.13438148873527,-82.53399634008704
9172.0,-94.01998063704804,22.400264421639445
1494.0,-320.68791774198326,168.84578040050374
2297.0,332.4804904395837,-145.8701073798379
311.0,62.05320851482529,30.600339078796836
5257.0,209.28124465722956,29.873401840734175
5723.0,845.7780097830182,-37.169334240507965
887.0,17.09218876295631,-94.14146536093288
3930.0,-212.89420030756645,15.87426908289957
4983.0,-10.04627667993471,57.29946484906765
924.0,222.17874712689314,-5.866167495557644
9519.0,13.08605356664855,16.666392195674504
704.0,-65.29509509172263,-73.40782561934535
5745.0,108.02981721055102,-35.38781136741409
607.0,60.6469507568879,29.473703975476198
5048.0,111.21013409434562,-107.85229446989311
7950.0,12.378743246400274,90.22008641563369
4549.0,-15.074858079826836,-20.11191308288659
1040.0,228.66635994027675,-118.64149069424366
7923.0,-42.11828160064786,107.77723439516382
5582.0,48.26294935665986,264.5306560960623
