ID,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7
1269.0,814.5946056024561,159.02659553453856,1018.2344325130016,67.151714150337,117.98710817831187,198.75423528646934,92.10357071072569
6910.0,45.600542487306924,205.3954820838671,-64.36540173432732,335.7664344797137,243.46518136385092,-59.40537740077615,-135.21028921891286
295.0,32.961960174088794,-228.53795846119374,374.57599136174423,-112.21394772927412,-271.7723982965244,61.48214005681862,255.0195105851519
4943.0,63.43184904066633,904.6106056899564,326.5469678964682,-293.12690872049694,-256.9024681417551,15.842785435620842,173.98155641997099
3644.0,-1001.8641320778813,-443.9248250853016,-316.19569318705766,176.62493579803072,436.05072689954943,123.5215399114045,-6.129151936086942
1531.0,503.37563792260727,202.9036964349776,-95.3254949517934,-89.10431900326813,43.48856570854733,69.56308780112867,91.41084189583034
5881.0,-351.85676914233727,-11.400605458924069,-374.0843825528946,94.86556456230046,-35.409644905987825,113.81433552768621,7.241424609286641
2725.0,-543.0146052523542,-185.1454561864532,32.89174891932557,185.63809990481442,852.379972758809,-300.8168728438931,378.8779666468621
949.0,-1314.2765112156694,661.8809035115816,307.45955815981455,125.84338767136427,117.86916002368525,-2.956726789026855,127.24672335021545
2293.0,56.887238042347946,72.10271882580533,34.848083521266574,-182.4688342884796,46.77827027899693,135.5259015521492,209.46008488700573
3569.0,-91.34278510192343,-173.85503259611312,64.72996855708072,136.94784013696616,-28.17133539819005,-0.21570095664834277,-188.9920240042532
6965.0,125.32989059965425,-110.38345761926988,-98.57914361819061,16.5633250920357,-44.7084832772821,143.88420803470254,-39.62286808385385
7195.0,856.2447587493275,-90.81558003374401,-427.23633655685796,-83.1246244399132,-353.1750577217456,-112.90303917672591,130.16820917570922
4632.0,1011.7165306783579,690.4016643076354,-77.12452842718186,-19.702643370930716,-200.17917342739713,3.8469230926865334,54.977533030925116
636.0,-218.20113900256044,471.2754666422378,206.40418416859725,347.5378498697639,-161.90510182393112,-242.54839569106375,-534.3272577749707
693.0,-325.6573870594112,-917.9836315068155,132.95102451468176,792.6747333490445,-71.54262314783524,-118.155615976244,-205.87284380286945
1312.0,-156.62919020190594,44.401729789772396,2700.1360520879666,575.5887653241949,96.79141170173088,-222.19371542974545,-99.809205885701
463.0,-313.2966024499979,-54.13148065064533,-194.8480555578136,604.3018049973952,-505.07311914682464,-98.69608769889703,260.5334022211812
3934.0,-680.5126011175759,-114.31551145811065,563.0900608616399,296.6464114812321,-105.58674006069741,-47.94595273588463,262.6052593856637
2385.0,30.16918691832816,105.71306680633585,-190.18506402921898,11.486738190732705,-32.85588478539922,66.1477447488589,-385.8063076062094
1600.0,-46.149475766684304,-460.01739928115154,-578.4589495071749,-633.4856928902132,152.94930946443583,23.313954947861415,-103.39160169364132
5233.0,-399.915329948811,104.39943459011097,86.51680450898354,-149.7081830257492,30.243954505474857,-440.3985183452075,186.0629770588138
347.0,1029.3879653914032,897.7741029787452,-539.9726789375728,-14.172282237368018,-429.55693426040824,63.86582419202476,-171.86745311975102
7047.0,765.3104519806744,-97.75419900039752,603.8443614617306,-124.22896346008281,-0.28895140445822026,530.1890698981829,-12.181142323321996
2217.0,1820.3826100146289,133.86560925351125,251.22465645082104,-127.46740087724703,-7.189187782898442,420.0302952147817,74.80755890328234
1588.0,181.6907187717897,-366.3240351073374,82.67225628904592,-2.297975488244538,-199.6987399177986,73.22738745744962,247.86624620147427
363.0,-247.66054874053887,1065.735486869255,145.4411627197775,433.9531906679118,170.91095888162593,-17.47588857152759,-2.2115489657719136
22.0,-67.39404341052071,311.8085115228657,-824.7470534794213,531.4766542484656,227.76000107101288,174.4260242435504,241.51720897669577
4671.0,-909.642730344299,-1.1884806068489997,-236.64287277870454,-407.0549253705332,-460.9172049364399,30.118148927739828,71.31555183293112
